id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,taxon_id
399802,2013-08-17,2013-08-17,NA,Hanoi,22206,vanessa88,2013-09-17 00:31:50 +0530,2021-02-19 07:12:11 +0530,research,CC-BY-NC,http://www.inaturalist.org/observations/399802,https://inaturalist-open-data.s3.amazonaws.com/photos/500394/medium.JPG?1379358119,This picture was taken in Butterfly Garden of Sentosa Island on my trip to Singapore,2,0,FALSE,NA,Sentosa Island,1.249404,103.830321,2933,2933,FALSE,NA,NA,Common Birdwing,Troides helena cerberus,Common Birdwing,429728
860471,"September 03, 2014 09:54",2014-09-03,2014-09-03 07:24:00 +0530,Singapore,31576,techieoldfox,2014-09-04 07:41:46 +0530,2020-03-29 15:13:44 +0530,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/860471,https://inaturalist-open-data.s3.amazonaws.com/photos/1091672/medium.JPG?1444771950,"Spotted Tiger Beetle, Cicindela aurulenta",2,0,FALSE,NA,Singapore,1.25719,103.81488,NA,NA,FALSE,NA,NA,Golden-spotted Tiger Beetle,Cicindela aurulenta,Golden-spotted Tiger Beetle,209761
1805973,2015-07-21 16:32:58,2015-07-21,2015-07-21 14:02:58 +0530,Hong Kong,24661,sunnetchan,2015-07-27 11:31:55 +0530,2020-09-30 18:23:25 +0530,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/1805973,https://inaturalist-open-data.s3.amazonaws.com/photos/2188523/medium.jpg?1437976942,"Tiny Grass Blue (Zizula hylax), about 0.9mm 

Reference :
A Naturalist's Guide to the BUTTERFLIES OF PENINSULAR MALAYSIA, SINGAPORE and THAILAND P.115- Laurence G.Kirton 2014 JOHN BEAUFOY PUBLISHING
http://www.dchome.net/forum.php?mod=viewthread&tid=1262440",1,0,FALSE,NA,"Near Tiger Sky Tower, Sentosa, Singapore",1.255088,103.81785,74,74,FALSE,NA,NA,Pygmy Grass Blue,Zizula hylax pygmaea,Pygmy Grass Blue,504351
4340430,2016-10-13 1:35:00 PM GMT+08:00,2016-10-13,2016-10-13 11:05:00 +0530,Australia/Perth,350152,jjepanda,2016-10-13 20:10:35 +0530,2020-07-13 20:26:00 +0530,research,NA,http://www.inaturalist.org/observations/4340430,https://static.inaturalist.org/photos/5210507/medium.jpeg?1476369643,NA,2,0,FALSE,2,"Central, SG",1.2533067059,103.818658366,172,172,FALSE,gps,gps,Xenocatantops humilis,Xenocatantops humilis,Rufous-legged Grasshopper,348016
6085924,2017/04/30 1:50 PM HST,2017-04-30,2017-05-01 05:20:00 +0530,Hawaii,132646,tiangpee,2017-05-04 12:43:34 +0530,2017-05-06 02:41:33 +0530,research,CC-BY-NC,https://www.inaturalist.org/observations/6085924,https://static.inaturalist.org/photos/7612651/medium.jpeg?1493881986,NA,2,0,FALSE,NA,"Sentosa, Singapore",1.2494041,103.8303209,2343,2343,FALSE,NA,NA,Short Banded Sailer,Phaedyma columella,Short Banded Sailer,335092
6815559,2017-06-26 09:37:24,2017-06-26,2017-06-26 07:07:24 +0530,Singapore,44332,lenachow,2017-06-27 06:29:31 +0530,2020-08-29 05:45:29 +0530,research,NA,https://www.inaturalist.org/observations/6815559,https://static.inaturalist.org/photos/8674122/medium.jpeg?1498525174,NA,2,0,FALSE,NA,Sentosa,1.249404,103.830321,2931,2931,FALSE,NA,NA,Asota egens,Asota egens,NA,202254
7215491,2010-02-06,2010-02-06,NA,Singapore,44332,lenachow,2017-07-26 13:06:14 +0530,2020-08-29 14:03:03 +0530,research,NA,https://www.inaturalist.org/observations/7215491,https://static.inaturalist.org/photos/9311545/medium.jpg?1501054573,NA,2,0,FALSE,NA,Sentosa,1.249404,103.830321,2931,2931,FALSE,NA,NA,Scarce Silverstreak,Iraota rochana boswelliana,Scarce Silverstreak,498209
7928791,Sun Jun 11 2017 04:47:57 GMT-0500 (CDT),2017-06-11,2017-06-11 15:17:57 +0530,Central Time (US & Canada),295378,victormozqueda,2017-09-15 19:57:18 +0530,2020-08-31 14:41:25 +0530,research,CC-BY-NC,https://www.inaturalist.org/observations/7928791,https://inaturalist-open-data.s3.amazonaws.com/photos/10466887/medium.jpg?1505485645,NA,6,0,FALSE,3,"2 Imbiah Road, Sentosa, Singapore, SG",1.255399866,103.8169203501,38,38,FALSE,NA,NA,Green Weaver Ant,Oecophylla smaragdina,Asian Weaver Ant,117293
8422905,2017/10/15 10:21 AM +0800,2017-10-15,2017-10-15 07:51:00 +0530,Australia/Perth,51342,big-simonchan,2017-10-16 08:34:05 +0530,2020-12-12 22:26:58 +0530,research,CC-BY-NC,https://www.inaturalist.org/observations/8422905,https://inaturalist-open-data.s3.amazonaws.com/photos/11214222/medium.jpg?1508122071,Sentosa survey,2,0,FALSE,NA,"Mount Embiah, Singapore",1.2569444,103.8147222,2169,2169,FALSE,NA,NA,Indian Palm Bob,Suastus gremius,Palm Bob,154731
8422906,2017/10/15 10:21 AM +0800,2017-10-15,2017-10-15 07:51:00 +0530,Australia/Perth,51342,big-simonchan,2017-10-16 08:34:06 +0530,2019-05-17 08:44:47 +0530,research,CC-BY-NC,https://www.inaturalist.org/observations/8422906,https://inaturalist-open-data.s3.amazonaws.com/photos/11214228/medium.jpg?1508122084,Sentosa survey,1,0,FALSE,NA,"Mount Embiah, Singapore",1.2569444,103.8147222,2169,2169,FALSE,NA,NA,Abberant Oakblue,Arhopala abseus,Aberrant Oakblue,333427
