species,order,family
Abisara saturata,Lepidoptera,Riodinidae
Achaea serva,Lepidoptera,Erebidae
Agrionoptera insignis,Odonata,Libellulidae
Amathusia phidippus,Lepidoptera,Nymphalidae
Anax guttatus,Odonata,Aeshnidae
Anthene emolus,Lepidoptera,Lycaenidae
Antilochus coquebertii,Hemiptera,Pyrrhocoridae
Apis cerana,Hymenoptera,Apidae
Apis florea,Hymenoptera,Apidae
Appias libythea,Lepidoptera,Pieridae
Arhopala abseus,Lepidoptera,Lycaenidae
Arhopala centaurus,Lepidoptera,Lycaenidae
Asota egens,Lepidoptera,Erebidae
Asota subsimilis,Lepidoptera,Erebidae
Attacus atlas,Lepidoptera,Saturniidae
Borbo cinnara,Lepidoptera,Hesperiidae
Brachydiplax chalybea,Odonata,Libellulidae
Caltoris cormasa,Lepidoptera,Hesperiidae
Camacinia gigantea,Odonata,Libellulidae
Catochrysops panormus,Lepidoptera,Lycaenidae
Catopsilia pomona,Lepidoptera,Pieridae
Catopsilia pyranthe,Lepidoptera,Pieridae
Cephrenes trichopepla,Lepidoptera,Hesperiidae
Chalybion bengalense,Hymenoptera,Sphecidae
Cheritra freja,Lepidoptera,Lycaenidae
Chrysomya megacephala,Diptera,Calliphoridae
Cicindela aurulenta,Coleoptera,Carabidae
Crocothemis servilia,Odonata,Libellulidae
Cupha erymanthis,Lepidoptera,Nymphalidae
Danaus chrysippus,Lepidoptera,Nymphalidae
Danaus genutia,Lepidoptera,Nymphalidae
Daphnis nerii,Lepidoptera,Sphingidae
Delias hyparete,Lepidoptera,Pieridae
Diplacodes trivialis,Odonata,Libellulidae
Doleschallia bisaltide,Lepidoptera,Nymphalidae
Drupadia ravindra,Lepidoptera,Lycaenidae
Dysdercus cingulatus,Hemiptera,Pyrrhocoridae
Dysdercus decussatus,Hemiptera,Pyrrhocoridae
Elymnias hypermnestra,Lepidoptera,Nymphalidae
Euploea crameri,Lepidoptera,Nymphalidae
Euploea eyndhovii,Lepidoptera,Nymphalidae
Euploea phaenareta,Lepidoptera,Nymphalidae
Eurema blanda,Lepidoptera,Pieridae
Eurema hecabe,Lepidoptera,Pieridae
Eurema sari,Lepidoptera,Pieridae
Euthalia aconthea,Lepidoptera,Nymphalidae
Euthalia adonia,Lepidoptera,Nymphalidae
Evania appendigaster,Hymenoptera,Evaniidae
Faunis canens,Lepidoptera,Nymphalidae
Graphium agamemnon,Lepidoptera,Papilionidae
Graphium sarpedon,Lepidoptera,Papilionidae
Hasora chromus,Lepidoptera,Hesperiidae
Hemicordulia tenera,Odonata,Corduliidae
Hydrobasileus croceus,Odonata,Libellulidae
Hypolimnas anomala,Lepidoptera,Nymphalidae
Hypolimnas bolina,Lepidoptera,Nymphalidae
Hypolycaena erylus,Lepidoptera,Lycaenidae
Iambrix salsala,Lepidoptera,Hesperiidae
Ischnura senegalensis,Odonata,Coenagrionidae
Jamides bochus,Lepidoptera,Lycaenidae
Junonia almana,Lepidoptera,Nymphalidae
Junonia hedonia,Lepidoptera,Nymphalidae
Junonia orithya,Lepidoptera,Nymphalidae
Lampides boeticus,Lepidoptera,Lycaenidae
Lathrecista asiatica,Odonata,Libellulidae
Lebadea martha,Lepidoptera,Nymphalidae
Loboschiza koenigiana,Lepidoptera,Tortricidae
Logania marmorata,Lepidoptera,Lycaenidae
Lyssa zampa,Lepidoptera,Uraniidae
Macrodiplax cora,Odonata,Libellulidae
Megisba malaya,Lepidoptera,Lycaenidae
Mictis longicornis,Hemiptera,Coreidae
Mycalesis mineus,Lepidoptera,Nymphalidae
Mycalesis perseus,Lepidoptera,Nymphalidae
Nacaduba biocellata,Lepidoptera,Lycaenidae
Nacaduba kurava,Lepidoptera,Lycaenidae
Nacaduba pactolus,Lepidoptera,Lycaenidae
Neptis hylas,Lepidoptera,Nymphalidae
Neurothemis fluctuans,Odonata,Libellulidae
Nomia strigata,Hymenoptera,Halictidae
Notocrypta paralysos,Lepidoptera,Hesperiidae
Oecophylla smaragdina,Hymenoptera,Formicidae
Orthetrum chrysis,Odonata,Libellulidae
Orthetrum glaucum,Odonata,Libellulidae
Orthetrum sabina,Odonata,Libellulidae
Orthetrum testaceum,Odonata,Libellulidae
Papilio clytia,Lepidoptera,Papilionidae
Papilio peranthus,Lepidoptera,Papilionidae
Papilio polytes,Lepidoptera,Papilionidae
Parthenos sylvia,Lepidoptera,Nymphalidae
Pelopidas agna,Lepidoptera,Hesperiidae
Petrelaea dana,Lepidoptera,Lycaenidae
Phaedyma columella,Lepidoptera,Nymphalidae
Phalanta phalantha,Lepidoptera,Nymphalidae
Phalerimeris phalerata,Hymenoptera,Scoliidae
Plastingia naga,Lepidoptera,Hesperiidae
Polistes sagittarius,Hymenoptera,Vespidae
Polyura hebe,Lepidoptera,Nymphalidae
Prosotas dubiosa,Lepidoptera,Lycaenidae
Prosotas nora,Lepidoptera,Lycaenidae
