"ID","Family","Tribe","Genus","Species","Latitude","Longitude","Coll_Year"
"PHOTO_10156733125466294","Apidae","Allodapini","Braunsapis","Braunsapis puangensis",1.302871,103.790577,2018
"PHOTO_1687275804684421","Apidae","Anthophorini","Amegilla","Amegilla insularis",1.3488,103.7652,2018
"PHOTO_2290196074392388","Apidae","Anthophorini","Amegilla","Amegilla insularis",1.3488,103.7652,2019
"PHOTO_1665163590228976","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.446687,103.730106,2018
"PHOTO_1828251057253561","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.415774,103.861175,2018
"PHOTO_1933781183367214","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.315194,103.815995,2018
"PHOTO_1586864168058919","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.220167,103.847,2018
"PHOTO_1682706088474726","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.31312,103.78001,2018
"PHOTO_1700003880078280","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.315194,103.815995,2018
"PHOTO_10156528995736672","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.383133,103.775055,2018
"PHOTO_1734390593306275","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.31312,103.78001,2018
"PHOTO_1840814092663924","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.31312,103.78001,2018
"PHOTO_1848886125190054","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.35616,103.75308,2018
"PHOTO_2263887357023260","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.37436,103.948,2019
"PHOTO_2509367239141936","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.353936,103.793035,2019
"PHOTO_3407795089299142","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.37436,103.948,2020
"PHOTO_3541657615912888","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.353936,103.793035,2020
"PHOTO_3642502525828396","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.1849,103.4634,2021
"PHOTO_3766203643458283","Apidae","Anthophorini","Amegilla","Amegilla andrewsi",1.284088,103.791039,2021
