ID,Family,Tribe,Genus,Species,Latitude,Longitude,Coll_Year
PHOTO_ZWWS_20160921_01,Apidae,Allodapini,Braunsapis,Braunsapis clarihirta,1.411189,103.959314,2016
PHOTO_ZWWS_20190323_04,Apidae,Allodapini,Braunsapis,Braunsapis cupulifera,1.29718,103.776655,2019
PHOTO_ZWWS_20120416_02,Apidae,Allodapini,Braunsapis,Braunsapis hewitti,1.335221,103.925342,2012
PHOTO_ZWWS_20120514_01,Apidae,Allodapini,Braunsapis,Braunsapis hewitti,1.279088,103.799606,2012
PHOTO_ZWWS_20120627_02,Apidae,Allodapini,Braunsapis,Braunsapis hewitti,1.36376,103.947941,2012
PHOTO_ZWWS_20180106_12,Apidae,Allodapini,Braunsapis,Braunsapis hewitti,1.381203,103.951296,2018
PHOTO_ZWWS_20180413_05,Apidae,Allodapini,Braunsapis,Braunsapis hewitti,1.315194,103.815995,2018
PHOTO_ZWWS_20190113_11,Apidae,Allodapini,Braunsapis,Braunsapis hewitti,1.36201,103.777382,2019
PHOTO_ZWWS_20120627_03,Apidae,Allodapini,Braunsapis,Braunsapis puangensis,1.36376,103.947941,2012
PHOTO_ZWWS_20160731_03,Apidae,Allodapini,Braunsapis,Braunsapis puangensis,1.279088,103.799606,2016
PHOTO_ZWWS_20161127_01,Apidae,Allodapini,Braunsapis,Braunsapis puangensis,1.372004,103.777075,2016
PHOTO_ZWWS_20170319_04,Apidae,Allodapini,Braunsapis,Braunsapis puangensis,1.455586,103.818041,2017
PHOTO_ZWWS_20180411_02,Apidae,Allodapini,Braunsapis,Braunsapis puangensis,1.302871,103.790577,2018
PHOTO_ZWWS_20180413_02,Apidae,Allodapini,Braunsapis,Braunsapis puangensis,1.315194,103.815995,2018
PHOTO_ZWWS_20180425_02,Apidae,Allodapini,Braunsapis,Braunsapis puangensis,1.302871,103.790577,2018
PHOTO_ZWWS_20180521_02,Apidae,Allodapini,Braunsapis,Braunsapis puangensis,1.279088,103.799606,2018
PHOTO_ZWWS_20180719_03,Apidae,Allodapini,Braunsapis,Braunsapis puangensis,1.324168,103.907179,2018
PHOTO_ZWWS_20190306_03,Apidae,Allodapini,Braunsapis,Braunsapis puangensis,1.315194,103.815995,2019
PHOTO_ZWWS_20180529_01,Apidae,Anthophorini,Amegilla,Amegilla insularis,1.3488,103.7652,2018
PHOTO_ZWWS_20120208_03,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.381203,103.951296,2012
PHOTO_ZWWS_20120316_01,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.36201,103.777382,2012
PHOTO_ZWWS_20120321_01,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.335221,103.925342,2012
PHOTO_ZWWS_20120622_02,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.36201,103.777382,2012
PHOTO_ZWWS_20140714_01,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.279088,103.799606,2014
PHOTO_ZWWS_20160901_01,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.42444,103.84274,2016
PHOTO_ZWWS_20170404_02,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.294126,103.846382,2017
PHOTO_ZWWS_20170616_03,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.34194,103.72651,2017
PHOTO_ZWWS_20170826_01,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.28738,103.82469,2017
PHOTO_ZWWS_20171124_06,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.315194,103.815995,2017
PHOTO_ZWWS_20171201_01,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.3488,103.7652,2017
PHOTO_ZWWS_20171227_01,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.279088,103.799606,2017
PHOTO_ZWWS_20180323_05,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.315194,103.815995,2018
PHOTO_ZWWS_20180331_04,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.3451,103.824611,2018
PHOTO_ZWWS_20180407_03,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.36201,103.777382,2018
PHOTO_ZWWS_20180407_05,Apidae,Anthophorini,Amegilla,Amegilla andrewsi,1.36201,103.777382,2018
